Date,Open,High,Low,Close,Adj Close,Volume
2016-02-22,23800,23840,23320,23500,1147.898071,8744950
2016-02-23,23580,23780,23460,23620,1153.759766,7383700
2016-02-24,23560,23580,23220,23440,1144.967407,7024200
2016-02-25,23440,23740,23440,23580,1151.80603,6681750
2016-02-26,23600,23740,23440,23440,1144.967407,8867200
2016-02-29,23580,23880,23520,23560,1150.828979,14434000
2016-03-02,24000,24140,23920,23940,1169.390869,11818600
2016-03-03,24260,24400,24040,24400,1191.860352,10949550
2016-03-04,24400,24560,24040,24300,1186.97583,10074500
2016-03-07,24400,24620,24300,24460,1194.791138,6568800
2016-03-08,24460,24480,23720,23840,1164.506104,10810100
2016-03-09,23760,23980,23540,23880,1166.459961,9169000
2016-03-10,24160,24720,24020,24500,1196.744995,14177000
2016-03-11,24500,25060,24320,24980,1220.191528,13361250
2016-03-14,25340,25460,24980,25100,1226.053101,10857700
2016-03-15,25100,25280,24920,25060,1224.099121,8640400
2016-03-16,25120,25260,25060,25120,1227.029907,7342800
2016-03-17,25300,25920,25140,25260,1233.86853,12343450
2016-03-18,25560,25560,25260,25460,1243.637939,11265700
2016-03-21,25480,25580,25160,25340,1237.776245,9058500
2016-03-22,25340,25580,25240,25380,1239.730103,10143600
2016-03-23,25380,25580,25240,25580,1249.499512,9870900
2016-03-24,25580,25800,25320,25640,1252.43042,10939750
2016-03-25,25660,25800,25560,25760,1258.291992,7172300
2016-03-28,25760,26000,25760,25880,1264.153564,6060900
2016-03-29,25880,26000,25700,25800,1260.245728,8622700
2016-03-30,26200,26420,26040,26160,1277.830566,13380250
2016-03-31,26120,26280,25960,26240,1281.738403,19130750
2016-04-01,25980,26180,25420,25580,1249.499512,13557800
2016-04-04,25580,26100,25580,26100,1274.899902,9402300
2016-04-05,25980,25980,25200,25200,1230.937744,11815950
2016-04-06,25380,25820,25360,25700,1255.360962,9211700
2016-04-07,26000,26000,25160,25380,1239.730103,12939750
2016-04-08,25380,25380,24800,24920,1217.260498,12593400
2016-04-11,24920,25420,24920,25320,1236.799316,6034650
2016-04-12,25400,25620,25320,25500,1245.591919,6702700
2016-04-14,26000,26040,25780,26000,1270.015015,16766350
2016-04-15,26180,26200,25800,26000,1270.015015,6829950
2016-04-18,25900,26100,25840,25980,1269.03833,6423700
2016-04-19,25880,25920,25660,25760,1258.291992,7238300
2016-04-20,25640,26000,25640,25980,1269.03833,8598600
2016-04-21,26000,26020,25760,25880,1264.153564,7254450
2016-04-22,25880,25880,25540,25600,1250.47644,5741500
2016-04-25,25700,25700,25420,25620,1251.453369,4597850
